PROYECTO;TAREA;DESCRIPCION;SECCION;FECHA;PERIODICIDAD;ORDEN;RESPONSABLE;CODPROY;CODTAREA;ETIQUETA;CODIGO;TIPO;ORDEN;CODCLI2;1;
Ruta Dario Martes;80267,KIOSCO FLORESTA;??///;;2025-02-04T03:00:00.000Z;CADA MARTES;29;26988122;2236031612;7714140991;;80267;Ruta;1;80267;;
Ruta Dario Martes;80126,PANADERIA MILO (Santa Ana Panadería);????/// http://maps.google.com/?q=-34.79070419386638,-55.47203633934259;;2025-02-04T03:00:00.000Z;CADA MARTES;30;26988122;2236031612;8496453581;;80126;Ruta;1;80126;;
Ruta Dario Martes;12269, AILEN CARDOZO ALBARENGO;"??/// Marcador 71
lat/lng: (-34.77281,-55.82666)
[http://maps.google.com/?q=-34.77280827689024,-55.82666393369436](http://maps.google.com/?q=-34.77280827689024,-55.82666393369436)";;2025-02-04T12:00:00.000Z;cada mart 9:00;31;26988122;2236031612;8312758344;;12269;Ruta;1;12269;;
Ruta Dario Martes;62950, MANU;??/// http://maps.google.com/?q=-34.779849743102154,-55.757437124848366;;2025-02-04T03:00:00.000Z;cada mart;32;26988122;2236031612;4543395741;;62950;Ruta;1;62950;;
Ruta Dario Martes;80247,BAR EL POCHO;??///;;2025-02-04T03:00:00.000Z;CADA MARTES;33;26988122;2236031612;8708789051;;80247;Ruta;1;80247;;
Ruta Dario Martes;80322, ELBA SUAREZ;;;2025-02-04T03:00:00.000Z;CADA MART;34;26988122;2236031612;8722214333;;80322;Ruta;1;80322;;
Ruta Dario Martes;80323,SALON GUAZU;;;2025-02-04T03:00:00.000Z;CADA MARTES;35;26988122;2236031612;8778719131;;80323;Ruta;1;80323;;
Ruta Dario Miercoles;11975, DUNAS (parque del plata norte 3%dto);"??????/// Marcador 134
lat/lng: (-34.74643,-55.71194)
[http://maps.google.com/?q=-34.74642711145462,-55.711940824985504](http://maps.google.com/?q=-34.74642711145462,-55.711940824985504)";;2025-02-12T03:00:00.000Z;cada miercoles;1;26988122;2236031621;3898341322;MN_C_Venta;11975;Ruta;1;11975;;
Ruta Dario Miercoles;23030, MOLIMAX ( Panadería estación Floresta);??/// http://maps.google.com/?q=-34.72908316292183,-55.68587176501751;;2025-02-05T03:00:00.000Z;cada miercoles;2;26988122;2236031621;3898369957;MN_5_No_Roto_Merc.;23030;Ruta;1;23030;;
Ruta Dario Miercoles;41938, ROSMARI;"??/// Marcador 96
lat/lng: (-34.7458,-55.75967)
[http://maps.google.com/?q=-34.7458022965931,-55.75966536998749](http://maps.google.com/?q=-34.7458022965931,-55.75966536998749)";;2025-02-05T03:00:00.000Z;cada miercoles;3;26988122;2236031621;8315050036;MN_C_Venta;41938;Ruta;1;41938;;
Ruta Dario Miercoles;41971,PIZZERIA EL PAPO;"????/// Marcador 22
lat/lng: -34.74857,-55.76248
[http://maps.google.com/?q=-34.748572052790365,-55.762481689453125](http://maps.google.com/?q=-34.748572052790365,-55.762481689453125)";;2025-02-05T03:00:00.000Z;CADA MIERCOLES;4;26988122;2236031621;8315051901;MN_C_Venta;41971;Ruta;1;41971;;
Ruta Dario Miercoles;81241,AUTO DE MONI;??/// [C. 7 & C. Auxiliar, 15300 Parque del Plata, Departamento de Canelones](https://www.google.es/maps/place/C.+7+%26+C.+Auxiliar,+15300+Parque+del+Plata,+Departamento+de+Canelones/@-34.7563796,-55.7315478,17z/data=!4m10!1m2!2m1!1sesquina+calle+7+y++auxiliar+ruta+inter,+parque+del+plata!3m6!1s0x959ff659235d67b5:0xdd5973fa485a9cb8!8m2!3d-34.756384!4d-55.7289729!15sCjhlc3F1aW5hIGNhbGxlIDcgeSAgYXV4aWxpYXIgcnV0YSBpbnRlciwgcGFycXVlIGRlbCBwbGF0YZIBDGludGVyc2VjdGlvbuABAA!16s%2Fg%2F11f3gfzqpk?entry=ttu);;2025-02-05T03:00:00.000Z;cada mie;5;26988122;2236031621;8315105993;MN_5_No_Roto_Merc.;81241;Ruta;1;81241;;
Ruta Dario Miercoles;81145,KIOSCO AVENIDA;????///;;2025-02-05T03:00:00.000Z;cada mie;6;26988122;2236031621;8315103985;MN_C_Venta;81145;Ruta;1;81145;;
Ruta Dario Miercoles;80302, PROVISION DANY (PAMELA SOSA);??/// http://maps.google.com/?q=-34.755609, -55.725230;;2025-02-05T03:00:00.000Z;CADA MIE;7;26988122;2236031621;8424913826;MN_5_No_Roto_Merc.;80302;Ruta;1;80302;;
Ruta Dario Miercoles;22990, ELBA SILVERA ALMACEN LILA;??/// http://maps.google.com/?q=-34.78344253472815,-55.4914116114378;;2025-02-05T03:00:00.000Z;cada miercoles;8;26988122;2236031621;8363998269;MN_C_Venta;22990;Ruta;1;22990;;
Ruta Dario Miercoles;12345, MIRIAM DELGADO;??///;;2025-02-05T03:00:00.000Z;CADA MIERCOLES;9;26988122;2236031621;8363987578;MN_5_No_Roto_Merc.;12345;Ruta;1;12345;;
Ruta Dario Miercoles;22996, CARLOS JUAREZ - CARRITO CAPILLA;"??/// Marcador 74
2024/10/30 @ 11:42:40
http://maps.google.com/?q=-34.698464348318694,-55.518085174262524";;2025-02-05T03:00:00.000Z;CADA MIERCOLES;10;26988122;2236031621;6028806939;MN_C_Venta;22996;Ruta;1;22996;;
Ruta Dario Miercoles;23230, KASI 24  ALEJANDRA ALVAREZ;??????/// http://maps.google.com/?q=-34.791217981869686,-55.49223940819501;;2025-02-05T03:00:00.000Z;cada miercoles;11;26988122;2236031621;3898370109;MN_C_Venta;23230;Ruta;1;23230;;
Ruta Dario Miercoles;22873, MINIMERCADO NICO;????/// http://maps.google.com/?q=-34.792868910290565,-55.49237184226512;;2025-02-05T03:00:00.000Z;cada miercoles;12;26988122;2236031621;3898370105;MN_5_No_Roto_Merc.;22873;Ruta;1;22873;;
